ms1,b1,e1,id2,ms2,b2,e2,ch_match
64,255,583,Shamela0023735,807,991,1322,181
65,10,462,Shamela0011780,165,932,1652,204
65,555,1120,Shamela0011780,166,668,1420,325
65,180,334,Shamela0023735,2565,1143,1328,121
66,1025,1609,Shamela0011780,170,376,1167,391
67,231,546,ShamDhahabiyya0056999,172,562,841,181
67,886,1060,ShamDhahabiyya0056999,175,1402,1579,131
67,231,546,Shamela0009429,1393,359,639,180
67,54,596,Shamela0011780,171,520,1207,407
67,653,838,Shamela0011780,172,617,859,135
68,1182,1416,Shamela0011780,184,1189,1611,133
69,631,1289,ShamDhahabiyya0056999,173,1149,1503,218
69,434,892,Shamela0011780,186,41,797,251
70,105,991,Sham19Y0013667,3479,293,1099,530
70,105,863,Shamela0005756,5739,801,1540,507
70,428,677,Shamela0009429,1336,679,1008,155
70,93,763,Shamela0011780,188,159,876,492
70,758,1075,Shamela0011780,190,1216,1568,219
70,1075,1578,Shamela0011780,191,1,588,319
70,890,1569,Shamela0011787,247,1036,1466,155
70,763,1428,Shamela0011787,422,403,1127,393
71,789,1253,ShamDhahabiyya0056999,191,885,1225,240
71,789,1026,Shamela0001043,208,1074,1302,126
71,5,869,Shamela0011780,191,606,1555,609
71,869,1476,Shamela0011780,192,1,1048,405
71,804,1026,Shamela0011787,248,276,505,123
72,1,132,ShamDhahabiyya0056999,191,776,904,100
72,911,1092,Shamela0005756,3443,520,685,124
72,141,415,Shamela0011780,193,1100,1575,185
72,421,1518,Shamela0011780,194,15,1641,650
72,826,1408,Shia003633,98,73,652,471
73,1,713,Shamela0011780,195,724,1553,469
73,1072,1563,Shamela0011780,196,540,1640,307
74,1,929,Shamela0011780,197,169,1357,554
74,946,1570,Shamela0011780,198,97,947,321
75,450,634,ShamDhahabiyya0056999,189,1,187,145
75,629,1401,Shamela0011780,199,191,947,391
75,1299,1643,Shamela0023735,1088,740,1040,178
76,11,654,Shamela0011780,200,677,1379,459
76,647,1362,Shamela0011780,201,284,1255,539
77,1070,1224,ShamDhahabiyya0056999,194,1364,1511,119
77,1,1103,Shamela0011780,203,166,1649,825
77,1103,1634,Shamela0011780,204,1,536,375
77,29,758,Shamela0011787,254,768,1640,308
77,1331,1634,Shamela0023735,1241,228,501,196
78,1,943,Shamela0011780,204,536,1601,583
78,1402,1589,Shamela0011780,205,840,1019,112
78,943,1355,Shamela0011780,205,1,413,307
78,1,1330,Shamela0023735,1241,501,1527,563
79,49,478,Shamela0011780,205,1025,1489,318
79,558,1551,Shamela0011780,206,153,1282,562
79,8,460,Shamela0011787,256,633,1071,274
80,286,1589,Shamela0011780,207,1,1673,878
80,290,425,Shamela0023735,1242,13,164,96
81,715,1031,ShamDhahabiyya0056999,192,1438,1624,121
81,715,1194,Shamela0009429,1393,658,902,160
81,1,1330,Shamela0011780,208,64,1547,974
81,28,554,Shamela0011787,260,661,1147,319
81,1368,1554,Shamela0023735,2336,1220,1407,144
82,214,1629,Shamela0011780,211,1,1354,976
82,595,849,Shamela0023735,178,1,293,174
82,1,211,Shamela0023735,2336,1407,1540,102
83,16,267,Shamela0011780,211,1424,1686,198
83,267,1661,Shamela0011780,212,1,1350,897
83,16,581,Shamela0023735,2338,861,1206,259
86,529,1567,Shamela0011780,214,329,1464,546
86,1035,1571,Shamela0023735,1511,9,535,336
87,4,136,Shamela0011780,214,1472,1602,98
87,139,1762,Shamela0011780,215,1,1776,1094
87,218,940,Shamela0011787,271,1,277,176
87,1,342,Shamela0023735,1511,535,880,226
88,5,1360,Shamela0011780,216,9,1543,800
88,1360,1538,Shamela0011780,217,1,188,132
88,541,713,Shamela0023735,1420,622,809,102
88,1056,1317,Shamela0023735,1714,1,280,180
