id,book,alignments,ch_match
JK001103,0774IbnMuhammadShamsDinIbnMawsili.HusnSuluk,7,1794
JK001109,0170KhalilFarahidi.JumalFiNahw,1,93
JK001117,0694MuhibbDinTabari.KhulasatSiyar,50,16163
JK001127,0281IbnAbiDunya.Tahajjud,2,354
JK001138,0711IbnManzurIfriqi.MulhaqAghani,16,2465
JK001148,0387KatibKhwarizmi.MafatihCulum,1,120
JK001164,0779IbnHabibHalabi.MuqtafaMinSiratMustafa,20,3029
JK001171,0327AbuBakrKharaiti.MuntaqaMinMakarim,5,821
JK001173,0748Dhahabi.MuntaqaMinMinhajIctidal,13,3762
JK001175,1318AhmadDimashqi.MucjamAsmaAshya,19,5558
JK001186,0245LuwaynMissisi.JuzHadith,3,694
JK001189,0590IbnNasrJalalDinShayzari.ManhajMasluk,19,4852
JK001194,0281IbnAbiDunya.Mutamannin,1,149
JK001202,0303Nasai.Nucut,2,377
JK001210,0597IbnJawzi.Mudhish,11,1730
JK001226,0744IbnCabdHadi.SarimMunki,2,456
JK001227,0911Suyuti.SharhSudur,6,1454
JK001230,0426IbnAhmadIbnShadhan.MashyakhaSughra,8,4277
JK001231,0761JamalDinIbnHisham.SharhShudhurDhahab,2,256
JK001232,0310Nawbakhti.FiraqShica,1,116
JK001233,0764Safadi.ShucurBiCur,13,3544
JK001236,0745IbnMuhammadTaqiDinIbnImam.SilahMumin,25,5983
JK001238,0450AbuHasanMawardi.DurarSuluk,1,142
JK001239,0911Suyuti.ShamailSharifa,11,1932
JK001263,0377IbnAhmadCasqalani.TanbihWaRadd,10,2592
JK001264,0614IbnAhmadIbnKhumayrSabti.TanzihAnbiya,2,222
JK001266,0600CabdGhaniMuqaddasi.TarghibFiDuca,5,1034
JK001269,0450AbuHasanMawardi.TashilNazar,3,335
JK001277,0600CabdGhaniMuqaddasi.TawhidLiLlah,2,816
JK001280,0222IbnBakkarDabi.AkhbarWafidat,6,2555
JK001286,0809IbnQunfudh.WasilatIslam,3,507
JK001287,0369AbuShaykhIsbahani.AhadithAbiZubayr,1,237
JK001288,0458Bayhaqi.ZuhdKabir,5,1021
